,産業分類（産業）,産業（大分類）,三宅村（人）,御蔵島村（人）
0,1,農業,63,1
1,1,林業・狩猟業,11,0
2,1,漁業・水産養殖業,31,5
3,2,鉱業,－,－
4,2,建設業,294,64
5,2,製造業,23,5
6,3,電気ガス水道業,21,6
7,3,運輸・通信業,98,19
8,3,卸売業・小売業,130,9
9,3,金融・保険・不動産業,20,－
10,3,サービス業,562,87
11,3,公務,206,28
12,分類不能の産業,,40,10
13,合計,,1499,234
