,局別,加入数単独,加入数共同,加入数計,公衆電話街頭公衆（ボックス形）,公衆電話街頭公衆／店頭公衆（卓上形）,公衆電話委局公
0,２局,959,0,959,26,9,0
1,５局,611,0,611,15,26,0
2,６局,430,0,430,13,29,0
3,小計,2000,0,2000,54,64,0
4,御蔵島,249,0,249,5,8,0
5,合計,2249,0,2249,59,72,0
