,年度別（年）,予算収入（円）,予算支出（円）,決算収入（円）,決算支出（円）
0,23,15660000,15660000,15346075,14787198
1,24,14830000,14830000,14157713,13718839
2,25,14958000,14958000,14404334,14146409
3,26,14645000,14645000,14098144,13787739
4,27,28489000,28489000,23773273,23404847
