,区分,調査数,日本語,ひらがな,片仮名,漢字,英語,中国語,韓国語
0,簡単なものは読める,1127.0,,1007.0,979.0,860.0,957.0,424.0,52.0
1,簡単なものは読める(%),100.0,,89.4,86.9,76.3,84.9,37.6,4.6
2,簡単なものは書ける,1127.0,,992.0,950.0,763.0,933.0,412.0,42.0
3,簡単なものは書ける(%),100.0,,88.0,84.3,67.7,82.8,36.6,3.7
4,簡単に聞ける,1127.0,824.0,,,,1006.0,411.0,34.0
5,簡単に聞ける(%),100.0,73.1,,,,89.3,36.5,3.0
6,簡単に話す,1127.0,725.0,,,,986.0,407.0,31.0
7,簡単に話す(%),100.0,64.3,,,,87.5,36.1,2.8
