,島名,港湾地方港湾（箇所）,漁港第１種（港）,漁港第２種（港）,漁港第４種（港）,空港地方管理空港（箇所）
0,三宅島,三池、大久保,湯の浜、伊ヶ谷／大久保,坪田,阿古,三宅島
1,御蔵島,御蔵島,,,,
