,日本の社会でどの層に入ると思うか,一日中誰とも話さないことがある(N=222)(%),一日中誰とも話さないことがない(N=1144)(%)
0,上,0.5,1.0
1,中の上,15.8,28.4
2,中の下,30.6,39.7
3,下の上,23.4,13.2
4,下の下,10.8,2.8
5,わからない,18.9,14.9
