,年度,中学生(人),小学生(人),幼児(人)
0,19,1048,3054,1284
1,20,983,2846,1135
2,21,871,2472,950
3,22,786,2290,965
4,23,811,2248,844
5,24,711,2041,997
6,25,631,1791,799
