,投票所名１,投票所名２,選挙人名簿（平成１８年９月２日）男,選挙人名簿（平成１８年９月２日）女,選挙人名簿（平成１８年９月２日）計,東京海区漁業調整委員会委員選挙人名簿（平成１７年１２月５日）男,東京海区漁業調整委員会委員選挙人名簿（平成１７年１２月５日）女,東京海区漁業調整委員会委員選挙人名簿（平成１７年１２月５日）計,農業委員会委員選挙人名簿（平成１８年３月３１日）男,農業委員会委員選挙人名簿（平成１８年３月３１日）女,農業委員会委員選挙人名簿（平成１８年３月３１日）計,農業委員会委員選挙人名簿（平成１８年３月３１日）世帯数
0,三宅村,神着投票区,318,261,579,66,10,76,58,90,148,96
1,三宅村,伊豆投票区,156,155,311,38,3,41,46,66,112,72
2,三宅村,伊ヶ谷投票区,85,80,165,23,2,25,38,49,87,61
3,三宅村,阿古投票区,478,422,900,93,5,98,112,139,251,163
4,三宅村,坪田投票区,348,308,656,75,18,93,89,119,208,129
5,合計,,1385,1226,2611,295,38,333,343,463,806,521
6,御蔵島村,,113,102,215,56,0,56,48,62,110,36
