,年度（年）,鳥獣名（羽）,捕獲員数（名）,区域（区）
0,27,（なし）,（なし）,－
1,28,（なし）,（なし）,－
2,29,オオミズナギドリ,3,御蔵島村一円
3,30,オオミズナギドリ,2,御蔵島村一円
4,元,オオミズナギドリ,2,御蔵島村一円
