,年度,小学校教員（％）,中学校教員（％）,高等学校教員（％）
0,平成１６（２００４）年度,66.1,42.2,30.0
1,平成１７（２００５）年度,65.8,42.2,30.2
2,平成１８（２００６）年度,65.6,42.1,30.6
3,平成１９（２００７）年度,65.4,42.2,31.2
4,平成２０（２００８）年度,65.2,42.1,31.7
5,平成２１（２００９）年度,64.8,42.0,32.2
6,平成２２（２０１０）年度,64.5,42.3,33.1
7,平成２３（２０１１）年度,64.3,42.5,33.8
8,平成２４（２０１２）年度,64.1,43.2,34.4
9,平成２５（２０１３）年度,63.6,43.7,34.7
10,平成２６（２０１４）年度,63.1,44.1,34.8
11,平成２７（２０１５）年度,62.6,44.1,35.1
12,平成２８（２０１６）年度,62.2,44.2,35.5
