,村別,区分,総数,１ｈａ未満,１～５ｈａ,５～１０ｈａ,１０～５０ｈａ,５０ｈａ以上
0,三宅村,人数（人）,"2,507人","1,945",468.0,68.0,23.0,3.0
1,三宅村,比率（％）,100%,77.6,18.7,2.7,0.9,0.1
2,御蔵島村,人数（人）,109人,63,16.0,17.0,12.0,1.0
3,御蔵島村,比率（％）,100%,57.8,14.7,15.6,11.0,0.9
4,計,人数（人）,"2,616人","2,008",484.0,85.0,35.0,4.0
5,計,比率（％）,100%,76.8,18.5,3.2,1.3,0.2
