,生産品,28数量,28数量単位,28金額（千円）,29数量,29数量単位,29金額（千円）,元数量,元数量単位,元金額（千円）,備考
0,木材,－,ｍ３,－,－,ｍ３,－,－,ｍ３,－,
1,柘材,9,ｍ３,1947,9,ｍ３,2033,12,ｍ３,2616,
2,桑材,1,ｍ３,46,1,ｍ３,34,－,ｍ３,－,
3,生シイタケ,6,ｋｇ,9,6,ｋｇ,9,6,ｋｇ,9,
4,計,,,2002,,,2076,,,2625,
