,村名,農家戸数総数（戸）,農家戸数販売農家（戸）,農家戸数販売農家主業（戸）,農家戸数販売農家準主業（戸）,農家戸数販売農家副業（戸）,農家戸数自給的農家（戸）,農家人口（販売農家）総数（人）,農家人口（販売農家）男（人）,農家人口（販売農家）女（人）
0,三宅村,102,47,9,6,32,55,47,38,9
1,御蔵島村,23,14,-,-,14,9,14,12,2
