,区分,調査数,1年未満,1年以上3年未満,3年以上5年未満,5年以上10年未満,10年以上
0,全体,1127.0,213.0,372.0,228.0,164.0,150.0
1,全体(%),100.0,18.9,33.0,20.2,14.6,13.3
