,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,49.1,43.5,5.4,1.2,0.9
1,19,38.3,50.6,8.8,1.7,0.8
2,14,37.7,48.1,9.4,2.5,2.2
3,9,35.4,48.3,12.7,3.1,0.5
