,樹種,１３（ｈａ）,１４（ｈａ）,１５（ｈａ）,１６（ｈａ）,計（ｈａ）
0,スギ,0,0,0,0,0
1,ヒノキ,0,0,0,0,0
2,その他,0,0,0,0,0
3,計,0,0,0,0,0
