,措置,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年
0,警告（件）,1169,1211,1133,1375,1384,1335,1376,1344,1288,2284,2452,3171,3375
1,禁止命令等（件）,24,24,22,19,17,26,33,41,55,69,103,149,145
2,警察本部長等の援助（件）,856,1356,1569,1631,2141,2260,2303,2470,2771,4485,6770,7649,8139
3,検挙（ストーカー行為罪・禁止命令等違反）（件）,192,206,200,183,242,244,263,229,205,351,402,613,677
