,区分１,区分２,標本数,睡眠、食事等（時間）,仕事等（時間）,家事、育児、介護等（時間）,自由時間（時間）
0,夫,共働き世帯のうち夫、妻共に週間就業時間３５時間以上,13578,９：５３,８：３９,０：４３,４：４６
1,夫,共働き世帯のうち週間就業時間夫３５時間以上、妻３５時間未満,12744,９：５９,８：３４,０：３１,４：５９
2,夫,夫が有業で妻が無業,25801,１０：１５,７：４４,０：４１,５：２０
