,区分１,区分２,区分３,三宅島,伊豆,伊ヶ谷,阿古,坪田,御蔵島,計
0,郵便局（株）,,局員数（人）,5,2.0,2.0,4.0,3.0,4.0,20
1,郵便事業（株）,三宅島配達センター,局員数（人）,9,,,,,,9
