,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,0.5,3.5,12.5,82.9,0.6
1,19,0.9,4.8,16.1,77.8,0.4
2,14,0.9,6.2,13.9,78.9,0.7
