,区分１,区分２,総数,立木地総数総数,立木地総数針,立木地総数広,立木地人工林総数,立木地人工林針,立木地人工林広,立木地天然林総数,立木地天然林針,立木地天然林広,竹林,無立木地総数,無立木地伐採跡地,無立木地未立木地,更新困難地,備考
0,三宅村,面積（ｈａ）,4032,3675,789,2886,1309,769,540,2366,20,2346,0,357,-,357,0,
1,三宅村,材積（ｍ２）,118463,118463,29408,89055,50601,28522,22079,67862,886,66976,-,-,-,-,-,
2,御蔵島村,面積（ｈａ）,1827,1664,14,1649,367,11,356,1296,3,1293,32,131,1,131,0,
3,御蔵島村,材積（ｍ２）,215193,215193,6775,208418,44416,5377,39039,170777,1398,169379,-,-,-,-,-,
