,保育所（認可保育所）数と保育所待機児童数,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
0,認可保育所数（箇所）,1603,1619,1629,1635,1648,1673,1689,1705,1740,1800,1855,1915,2019,2184,2342
1,保育所待機児童数（人）,5056,5208,5223,5221,4908,4601,5479,7939,8435,7855,7257,8117,8672,7814,8466
