,区分,調査数,地震・津波,1以外の自然災害,安全確保,災害時に言葉が通じない,原発、放射能,情報不足,テロ,その他,無回答
0,全体,550.0,322.0,104.0,41.0,21.0,15.0,13.0,2.0,46.0,32.0
1,全体(%),100.0,58.5,18.9,7.5,3.8,2.7,2.4,0.4,8.4,5.8
