,年度,小学校(%),中学校(%),高校(%),特別支援学校(%)
0,20,37.6,33.6,15.0,44.7
1,21,42.9,51.8,26.0,38.2
2,22,43.1,56.5,29.3,34.6
3,23,39.9,58.6,31.8,49.2
4,24,37.2,58.3,36.8,49.3
