,区分,件数,２９歳以下（％）,３０～３４歳（％）,３５～３９歳（％）,４０～４４歳（％）,４５～４９歳（％）,５０～５４歳（％）,５５～５９歳（％）,６０歳以上（％）
0,男性（平均年齢４１．７歳）,1552,7.7,17.5,19.7,19.5,14.5,8.1,6.1,6.8
1,女性（平均年齢４３．８歳）,317,5.7,11.7,17.4,18.6,17.0,13.9,7.3,8.5
