,地区,区分,生活,教育,住宅,介護,医療,就学
0,三宅村,世帯,55,1,43,22,67,0
1,三宅村,人員,64,1,51,22,77,0
2,御蔵島村,世帯,0,0,0,0,0,0
3,御蔵島村,人員,0,0,0,0,0,0
4,合計,世帯,55,1,43,22,67,0
5,合計,人員,64,1,51,22,77,0
