,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,39.6,55.7,2.5,0.3,2.0
1,対策あり層,265,43.8,51.3,4.5,0.4,0.0
2,対策なし層,759,39.1,58.6,0.3,1.8,0.1
