,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,2.9,28.9,42.5,25.1,0.6
1,19,1.9,27.4,39.1,31.1,0.5
2,14,2.4,28.1,39.8,29.0,0.6
3,9,0.9,20.9,38.2,39.9,0.1
