,主体,主な内容,媒体
0,東京都,・都内の罪種別の情報（認知件数）・特殊詐欺等に関する都内の被害件数や被害総額、対策等・都の防犯に関する施策や啓発・防犯ボランティア団体の概要や取組等・区市町村の取組・警視庁ウェブサイトへのリンク,・ウェブサイト・twitter・広報紙等・テレビ番組など
1,警視庁警察署,・罪種別の情報（認知件数、被害総額など）・防犯対策、手口、啓発など・犯罪情報マップ（10罪種及び全刑法犯の区市町村別発生件数等）・地域別犯罪発生情報・いわゆるアポ電に関する情報（一部）、公開捜査情報,・ウェブサイト・メール・twitter・広報紙等など
2,区市町村,・罪種、更新期間（年単位、月単位等）、集計単位（区市全体、町丁別等）、形式（PDF、作り込み、エクセル等）など自治体により異なるものの、区域内の刑法犯認知件数を提供・防犯対策や啓発、補助事業の概要など・区域内の防犯ボランティア団体の概要・警察署や警視庁ウェブサイトへのリンク・犯罪マップ（練馬、足立、板橋）,・ウェブサイト・メール・twitter・広報紙等・防災行政無線など
