,事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分都（千円）,負担区分村（千円）,負担区分事業主体（千円）
0,山村・離島振興施設整備事業,単,農産物直売所・研修室整備,一般社団法人三宅島農業振興会,"54,058,325","34,952,000","14,997,000","4,109,325"
1,山村・離島振興施設整備事業,単,農林業経営近代化施設（パイプハウス）整備,三宅島パッションフルーツ生産部会,"24,349,435","18,262,000","2,434,000","3,653,435"
2,山村・離島振興施設整備事業,単,農林業経営近代化施設（運搬用モノレール）整備,御蔵島村,"23,650,000","17,737,000","5,913,000",－
