,電源種別,東京電力認可出力設置ヶ所（箇所）,東京電力認可出力（万ｋＷ）,東京電力構成比（％）,全国（９電力）認可出力設置ヶ所（箇所）,全国（９電力）認可出力（万ｋＷ）,全国（９電力）構成比（％）
0,水力,164,987,54.3,1036,2736,24.9
1,火力,10,6,0.3,120,5962,54.2
2,原子力,1,821,45.1,12,2261,20.5
3,新エネルギー等,5,5,0.3,35,49,0.4
4,合計,180,1819,100.0,1203,11008,100.0
