,年度,結成数,結成数／割合(%),Unnamed: 3
0,H14年以前,527,51.0,
1,H15,66,6.4,
2,H16,115,11.1,
3,H17,77,7.4,
4,H18,67,6.5,
5,H19,41,4.0,
6,H20,19,1.8,
7,H21,17,1.6,
8,H22,22,2.1,
9,無回答,83,8.0,
