,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,17.5,49.3,29.4,3.2,0.6
1,対策あり層,348,19.5,50.0,28.2,2.3,0.0
2,対策なし層,688,16.9,49.1,29.9,3.6,0.4
