,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,3.6,27.4,40.3,28.1,0.6
1,19,4.6,32.0,37.7,25.3,0.3
2,14,5.0,32.3,38.4,23.6,0.7
3,9,3.9,24.8,34.4,36.8,0.1
