,区分１,区分２,標本数,睡眠、食事等（時間）,仕事等（時間）,家事、育児、介護等（時間）,自由時間（時間）
0,妻,共働き世帯のうち夫、妻共に週間就業時間３５時間以上,13617,９：５６,６：３４,３：２８,３：５９
1,妻,共働き世帯のうち週間就業時間夫３５時間以上、妻３５時間未満,12774,１０：０２,３：５４,４：５２,５：１２
2,妻,夫が有業で妻が無業,25799,１０：２６,０：０５,６：５２,６：３７
