,区分,団体数,団体数割合(%)
0,これまで大学生など若い世代の参加はない,644,62.3
1,イベントを開催する際に、臨時に協力をお願いしている,111,10.7
2,これまで大学生など若い世代が参加したことがある,90,8.7
3,現在、活動メンバーとして参加している,50,4.8
4,大学生など若い世代のボランティアと連携して活動している,26,2.5
5,活動体験や研修生として、受け入れている,25,2.4
6,その他,80,7.7
7,無回答,149,14.4
