,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,42.0,50.1,6.2,1.0,0.7
1,19,43.0,49.3,6.1,1.0,0.7
2,14,35.2,48.6,11.8,2.3,2.2
3,9,28.4,50.2,16.9,3.9,0.5
