,調査数,日本語教室、学習支援,多言語による相談窓口の開設,災害に関するセミナーや支援活動,交流会やお祭り等のイベント,通訳訓練、通訳手配,医療(感染症対策等)に関するセミナーや支援活動,防犯に関するセミナーや支援活動,その他,災害時の通訳・伝達方法,参加したい活動はない
0,1127.0,779.0,477.0,416.0,411.0,349.0,345.0,267.0,26.0,361.0,99.0
1,100.0,69.1,42.3,36.9,36.5,31.0,30.6,23.7,2.3,32.0,8.8
