,年,19,20,21,22,23,24,25,26
0,保育サービス利用児童数,174814.0,179282.0,184928.0,193532.0,202422.0,212641.0,223334.0,234911.0
1,保育サービス利用率(%),29.7,30.3,31.1,32.2,33.2,34.6,36.0,37.6
