,年度,21,22,23,24
0,小学校(%),10.0,8.6,9.2,7.2
1,中学校(%),19.9,18.5,22.4,18.3
2,高校(%),21.9,22.7,26.9,24.8
3,特別支援学校(%),24.1,22.9,30.2,17.2
