,種別,三宅島漁獲量（ｋｇ）,三宅島生産額（千円）,御蔵島漁獲量（ｋｇ）,御蔵島生産額（千円）,合計漁獲量（ｋｇ）,合計生産額（千円）
0,さば,209,43,0,0,209,43
1,とびうお,1824,511,0,0,1824,511
2,むろあじ,162,46,81,32,243,78
3,まあじ,0,0,0,0,0,0
4,しまあじ,290,875,451,1300,741,2175
5,たかべ,2875,3561,1735,1368,4610,4929
6,いさき,50,40,14,5,64,45
7,かつお類,27083,14107,2353,1529,29436,15636
8,まぐろ類,35896,17963,1793,936,37689,18899
9,かじき類,46,43,0,0,46,43
10,きんめだい,9615,7475,0,0,9615,7475
11,ひめだい,821,667,30,20,851,687
12,はまだい,74,149,0,0,74,149
13,あおだい,2873,2522,35,39,2908,2561
14,めだい,4813,1885,0,0,4813,1885
15,あこうだい,69,65,0,0,69,65
16,まだい,12,9,0,0,12,9
17,ひらまさ,150,175,61,59,211,234
18,かんぱち,2516,2401,542,548,3058,2949
19,さわら,2003,599,92,43,2095,642
20,むつ,147,200,0,0,147,200
21,さめ類,0,0,0,0,0,0
22,ぶり類,45,16,0,0,45,16
23,ひらめ,0,0,25,39,25,39
24,ぼら類,0,0,0,0,0,0
25,その他の魚類,5315,5417,178,161,5493,5578
26,計,96888,58769,7390,6079,104278,64848
27,かめ,0,0,0,0,0,0
28,いか,181,313,0,0,181,313
29,いせえび,4916,20493,170,535,5086,21028
30,とこぶし,729,1911,0,0,729,1911
31,その他,2311,3581,4,4,2315,3585
32,計,8137,26298,174,539,8311,26837
33,てんぐさ,4177,15517,6,17,4183,15534
34,とさかのり,37971,17839,0,0,37971,17839
35,その他,0,0,7,141,7,141
36,計,42148,33356,13,158,42161,33514
37,,147173,118423,7577,6776,154750,125199
