,年,１５～２４歳（女性）（万人）,２５～３４歳（女性）（万人）,総数（女性）（万人）,１５～２４歳（男性）（万人）,２５～３４歳（男性）（万人）,総数（男性）（万人）
0,平成１３（２００１）年,7,10,17,14,18,32
1,平成１４（２００２）年,11,13,24,18,22,40
2,平成１５（２００３）年,11,12,23,17,24,41
3,平成１６（２００４）年,10,12,22,17,25,42
4,平成１７（２００５）年,10,13,23,16,26,42
5,平成１８（２００６）年,10,12,22,16,24,40
6,平成１９（２００７）年,10,14,24,15,23,38
7,平成２０（２００８）年,10,13,23,16,25,41
8,平成２１（２００９）年,10,13,23,16,24,40
9,平成２２（２０１０）年,9,13,22,15,22,37
10,平成２３（２０１１）年,9,13,22,15,22,37
11,平成２４（２０１２）年,10,13,23,16,24,40
12,平成２５（２０１３）年,9,12,21,15,23,38
13,平成２６（２０１４）年,9,12,21,13,22,35
14,平成２７（２０１５）年,8,13,21,14,22,36
15,平成２８（２０１６）年,9,11,20,14,23,37
