,区分,神着,伊豆,伊ヶ谷,阿古,坪田,三宅村（計）,御蔵島村,計
0,男（人）,88,53,28,169,124,462,27,489
1,女（人）,106,85,38,198,130,557,27,584
2,計（人）,194,138,66,367,254,1019,54,1073
