,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,17.5,49.3,29.4,3.2,0.6
1,対策あり層,340,21.2,47.4,29.4,2.1,0.0
2,対策なし層,696,16.1,50.4,29.2,3.9,0.4
