,お店にお金を払えば、万引きは許されると思っていた,クラスタ1,クラスタ1割合(%),クラスタ2,クラスタ2割合(%),合計,合計割合(%)
0,思う／どちらともいえない,3,8.1,9,52.9,12,22.2
1,思わない,34,91.9,8,47.1,42,77.8
2,合計,37,100.0,17,100.0,54,100.0
