,年度,地区,区分,旅館・ホテル,民宿通年,民宿季節,バンガロー公営,バンガロー民営,キャンプ場公営,キャンプ場民営,合計
0,25,三宅,軒数（軒）,2,34,0,1,0,1,0,38
1,25,三宅,定員（人）,82,687,0,8,0,12,0,789
2,25,御蔵,軒数（軒）,0,14,0,5,5,0,0,24
3,25,御蔵,定員（人）,0,203,0,20,20,0,0,243
4,26,三宅,軒数（軒）,2,34,0,1,0,1,0,38
5,26,三宅,定員（人）,82,731,0,8,0,12,0,833
6,26,御蔵,軒数（軒）,0,13,1,5,0,0,0,19
7,26,御蔵,定員（人）,0,213,12,20,0,0,0,245
8,27,三宅,軒数（軒）,2,34,0,1,0,1,0,38
9,27,三宅,定員（人）,82,731,0,8,0,12,0,833
10,27,御蔵,軒数（軒）,0,13,1,5,0,0,0,19
11,27,御蔵,定員（人）,0,215,12,20,0,0,0,247
