,年度別,変革,発電設備（ｋＷ）,送電時間（時間）,備考
0,平成8年5月,ディーゼル発電機増設２０００ｋＷ,5800.0,24.0,
1,8.9,ディーゼル発電機撤去４００ｋＷ×２,5000.0,24.0,
2,12.6,移動用発電機設置５００ｋＷ,5500.0,24.0,
3,,以上の経過で現在に至る,,,
