,区分,契約口数１,契約口数２（口）,契約電力１,契約電力２（ｋＷ）
0,三宅島,電灯,2012,電灯,5782
1,三宅島,電力,166,電力,3232
2,御蔵島,電灯,380,電灯,1005
3,御蔵島,電力,35,電力,471
