,交通機関,地域,平成２５年来島者（人）,平成２５年来島者（％）,平成２６年来島者（人）,平成２６年来島者（％）,平成２７年来島者（人）,平成２７年来島者（％）
0,航空機,三宅島,2360,5.7,6759,16.0,9081,20.1
1,航空機,御蔵島,2603,26.3,2394,23.6,2421,23.2
2,船舶,三宅島,39506,94.3,35452,84.0,36158,79.9
3,船舶,御蔵島,7277,73.7,7731,76.4,7999,76.8
4,計,三宅島,41866,100.0,42211,100.0,45239,100.0
5,計,御蔵島,9880,100.0,10125,100.0,10420,100.0
