,調査数,現状の情報,今後の状況,自分が何をしなければならないのか,政府が運営する感染症情報サイトのURL,政府が運営する感染症情報アプリ・QRコード,特にない
0,1127.0,957.0,774.0,689.0,381.0,211.0,29.0
1,100.0,84.9,68.7,61.1,33.8,18.7,2.6
