,Unnamed: 0,19年度,20年度,21年度,22年度,23年度,24年度,25年度
0,15～24歳(%),44.7,43.7,38.3,36.4,39.6,38.5,39.6
1,25～34歳(%),93.5,95.2,94.3,93.8,93.4,93.5,92.2
2,35～44歳(%),96.7,97.1,96.7,96.4,96.1,97.0,96.6
3,45～54歳(%),96.5,96.3,96.4,96.2,96.3,96.5,96.2
4,55～64歳(%),87.4,87.7,86.5,86.7,86.9,85.2,84.4
5,65歳以上(%),36.7,35.7,34.4,34.5,35.0,35.4,35.9
