,年度,21,22,23,24
0,小学校(%),42.9,43.1,39.9,37.2
1,中学校(%),51.8,56.5,58.6,58.3
2,高校(%),26.0,29.3,31.8,36.8
3,特別支援学校(%),38.2,34.6,49.2,49.3
