,地域,年度（年）,１月（人）,２月（人）,３月（人）,４月（人）,５月（人）,６月（人）,７月（人）,８月（人）,９月（人）,１０月（人）,１１月（人）,１２月（人）,合計（人）
0,三宅島,25,2800,2203,3115,2997,4019,3325,4407,6212,3329,3207,3630,2622,41866
1,三宅島,26,2587,2078,2883,2971,4323,3450,4377,5819,3819,3192,3762,2950,42211
2,三宅島,27,2915,2465,3218,2870,4451,3751,4177,6214,4107,4236,3576,3259,45239
3,御蔵島,25,369,320,363,484,1018,1027,1382,2037,1306,689,591,294,9880
4,御蔵島,26,348,304,343,520,1110,1204,1614,1653,1378,842,536,273,10125
5,御蔵島,27,435,333,434,532,1121,1103,1320,1684,1546,1050,555,307,10420
