,年,19,20,21,22,23,24,25
0,出生数（東京都）,103837.0,106015.0,106613.0,108135.0,106027.0,107401.0,109986.0
1,合計特殊出生率（東京都）,1.05,1.09,1.12,1.12,1.06,1.09,1.13
2,合計特殊出生率（全国）,1.34,1.37,1.37,1.39,1.39,1.41,1.43
