,作目１,作目２,三宅村作付面積（ｈａ）,三宅村生産額（百万円）,御蔵作付面積（ｈａ）,島村生産額（百万円）,合計作付面積（ｈａ）,合計生産額（百万円）
0,野菜類,カンショ,2.7,8,－,－,2.7,8
1,野菜類,バレイショ,1.0,1,－,－,1.0,1
2,野菜類,サトイモ,3.3,5,－,－,3.3,5
3,野菜類,アシタバ,21.1,120,3.5,22,24.6,142
4,野菜類,キヌサヤ,0.7,5,－,－,0.7,5
5,野菜類,その他,2.8,18,－,－,2.8,18
6,野菜類,小計,31.6,157,3.5,22,35.1,179
7,花き類,切葉・切枝類,5.6,－,－,－,5.6,－
8,花き類,その他,0.1,－,2.9,－,3.0,－
9,花き類,小計,5.7,77,2.9,1,8.6,78
10,果樹,,0.5,9,－,0,0.5,9
11,その他,,0.0,0,－,－,0.0,0
12,合計,,37.8,244,6.5,23,44.3,267
