,年次,総数,凶悪犯_計,凶悪犯_殺人,凶悪犯_強盗,凶悪犯_放火,凶悪犯_強制性交等,粗暴犯_計,粗暴犯_暴行,粗暴犯_傷害,粗暴犯_脅迫,粗暴犯_恐喝,侵入・窃盗_計,侵入・窃盗_事務所荒し,侵入・窃盗_空き巣,侵入・窃盗_忍込み,侵入・窃盗_居空き,侵入・窃盗_その他,非侵入窃盗_計,非侵入窃盗_オートバイ盗,非侵入窃盗_自転車盗,非侵入窃盗_車上ねらい,非侵入窃盗_すり,非侵入窃盗_万引き,非侵入窃盗_その他,知能犯_計,知能犯_詐欺,風俗犯_計,風俗犯_わいせつ,その他_計,その他_占有離脱物横領,総数_1月,凶悪犯_計_1月,凶悪犯_殺人_1月,凶悪犯_強盗_1月,凶悪犯_放火_1月,凶悪犯_強制性交等_1月,粗暴犯_計_1月,粗暴犯_暴行_1月,粗暴犯_傷害_1月,粗暴犯_脅迫_1月,粗暴犯_恐喝_1月,侵入・窃盗_計_1月,侵入・窃盗_事務所荒し_1月,侵入・窃盗_空き巣_1月,侵入・窃盗_忍込み_1月,侵入・窃盗_居空き_1月,侵入・窃盗_その他_1月,非侵入窃盗_計_1月,非侵入窃盗_オートバイ盗_1月,非侵入窃盗_自転車盗_1月,非侵入窃盗_車上ねらい_1月,非侵入窃盗_すり_1月,非侵入窃盗_万引き_1月,非侵入窃盗_その他_1月,知能犯_計_1月,知能犯_詐欺_1月,風俗犯_計_1月,風俗犯_わいせつ_1月,その他_計_1月,その他_占有離脱物横領_1月,総数_2月,凶悪犯_計_2月,凶悪犯_殺人_2月,凶悪犯_強盗_2月,凶悪犯_放火_2月,凶悪犯_強制性交等_2月,粗暴犯_計_2月,粗暴犯_暴行_2月,粗暴犯_傷害_2月,粗暴犯_脅迫_2月,粗暴犯_恐喝_2月,侵入・窃盗_計_2月,侵入・窃盗_事務所荒し_2月,侵入・窃盗_空き巣_2月,侵入・窃盗_忍込み_2月,侵入・窃盗_居空き_2月,侵入・窃盗_その他_2月,非侵入窃盗_計_2月,非侵入窃盗_オートバイ盗_2月,非侵入窃盗_自転車盗_2月,非侵入窃盗_車上ねらい_2月,非侵入窃盗_すり_2月,非侵入窃盗_万引き_2月,非侵入窃盗_その他_2月,知能犯_計_2月,知能犯_詐欺_2月,風俗犯_計_2月,風俗犯_わいせつ_2月,その他_計_2月,その他_占有離脱物横領_2月,総数_3月,凶悪犯_計_3月,凶悪犯_殺人_3月,凶悪犯_強盗_3月,凶悪犯_放火_3月,凶悪犯_強制性交等_3月,粗暴犯_計_3月,粗暴犯_暴行_3月,粗暴犯_傷害_3月,粗暴犯_脅迫_3月,粗暴犯_恐喝_3月,侵入・窃盗_計_3月,侵入・窃盗_事務所荒し_3月,侵入・窃盗_空き巣_3月,侵入・窃盗_忍込み_3月,侵入・窃盗_居空き_3月,侵入・窃盗_その他_3月,非侵入窃盗_計_3月,非侵入窃盗_オートバイ盗_3月,非侵入窃盗_自転車盗_3月,非侵入窃盗_車上ねらい_3月,非侵入窃盗_すり_3月,非侵入窃盗_万引き_3月,非侵入窃盗_その他_3月,知能犯_計_3月,知能犯_詐欺_3月,風俗犯_計_3月,風俗犯_わいせつ_3月,その他_計_3月,その他_占有離脱物横領_3月,総数_4月,凶悪犯_計_4月,凶悪犯_殺人_4月,凶悪犯_強盗_4月,凶悪犯_放火_4月,凶悪犯_強制性交等_4月,粗暴犯_計_4月,粗暴犯_暴行_4月,粗暴犯_傷害_4月,粗暴犯_脅迫_4月,粗暴犯_恐喝_4月,侵入・窃盗_計_4月,侵入・窃盗_事務所荒し_4月,侵入・窃盗_空き巣_4月,侵入・窃盗_忍込み_4月,侵入・窃盗_居空き_4月,侵入・窃盗_その他_4月,非侵入窃盗_計_4月,非侵入窃盗_オートバイ盗_4月,非侵入窃盗_自転車盗_4月,非侵入窃盗_車上ねらい_4月,非侵入窃盗_すり_4月,非侵入窃盗_万引き_4月,非侵入窃盗_その他_4月,知能犯_計_4月,知能犯_詐欺_4月,風俗犯_計_4月,風俗犯_わいせつ_4月,その他_計_4月,その他_占有離脱物横領_4月,総数_5月,凶悪犯_計_5月,凶悪犯_殺人_5月,凶悪犯_強盗_5月,凶悪犯_放火_5月,凶悪犯_強制性交等_5月,粗暴犯_計_5月,粗暴犯_暴行_5月,粗暴犯_傷害_5月,粗暴犯_脅迫_5月,粗暴犯_恐喝_5月,侵入・窃盗_計_5月,侵入・窃盗_事務所荒し_5月,侵入・窃盗_空き巣_5月,侵入・窃盗_忍込み_5月,侵入・窃盗_居空き_5月,侵入・窃盗_その他_5月,非侵入窃盗_計_5月,非侵入窃盗_オートバイ盗_5月,非侵入窃盗_自転車盗_5月,非侵入窃盗_車上ねらい_5月,非侵入窃盗_すり_5月,非侵入窃盗_万引き_5月,非侵入窃盗_その他_5月,知能犯_計_5月,知能犯_詐欺_5月,風俗犯_計_5月,風俗犯_わいせつ_5月,その他_計_5月,その他_占有離脱物横領_5月,総数_6月,凶悪犯_計_6月,凶悪犯_殺人_6月,凶悪犯_強盗_6月,凶悪犯_放火_6月,凶悪犯_強制性交等_6月,粗暴犯_計_6月,粗暴犯_暴行_6月,粗暴犯_傷害_6月,粗暴犯_脅迫_6月,粗暴犯_恐喝_6月,侵入・窃盗_計_6月,侵入・窃盗_事務所荒し_6月,侵入・窃盗_空き巣_6月,侵入・窃盗_忍込み_6月,侵入・窃盗_居空き_6月,侵入・窃盗_その他_6月,非侵入窃盗_計_6月,非侵入窃盗_オートバイ盗_6月,非侵入窃盗_自転車盗_6月,非侵入窃盗_車上ねらい_6月,非侵入窃盗_すり_6月,非侵入窃盗_万引き_6月,非侵入窃盗_その他_6月,知能犯_計_6月,知能犯_詐欺_6月,風俗犯_計_6月,風俗犯_わいせつ_6月,その他_計_6月,その他_占有離脱物横領_6月,総数_7月,凶悪犯_計_7月,凶悪犯_殺人_7月,凶悪犯_強盗_7月,凶悪犯_放火_7月,凶悪犯_強制性交等_7月,粗暴犯_計_7月,粗暴犯_暴行_7月,粗暴犯_傷害_7月,粗暴犯_脅迫_7月,粗暴犯_恐喝_7月,侵入・窃盗_計_7月,侵入・窃盗_事務所荒し_7月,侵入・窃盗_空き巣_7月,侵入・窃盗_忍込み_7月,侵入・窃盗_居空き_7月,侵入・窃盗_その他_7月,非侵入窃盗_計_7月,非侵入窃盗_オートバイ盗_7月,非侵入窃盗_自転車盗_7月,非侵入窃盗_車上ねらい_7月,非侵入窃盗_すり_7月,非侵入窃盗_万引き_7月,非侵入窃盗_その他_7月,知能犯_計_7月,知能犯_詐欺_7月,風俗犯_計_7月,風俗犯_わいせつ_7月,その他_計_7月,その他_占有離脱物横領_7月,総数_8月,凶悪犯_計_8月,凶悪犯_殺人_8月,凶悪犯_強盗_8月,凶悪犯_放火_8月,凶悪犯_強制性交等_8月,粗暴犯_計_8月,粗暴犯_暴行_8月,粗暴犯_傷害_8月,粗暴犯_脅迫_8月,粗暴犯_恐喝_8月,侵入・窃盗_計_8月,侵入・窃盗_事務所荒し_8月,侵入・窃盗_空き巣_8月,侵入・窃盗_忍込み_8月,侵入・窃盗_居空き_8月,侵入・窃盗_その他_8月,非侵入窃盗_計_8月,非侵入窃盗_オートバイ盗_8月,非侵入窃盗_自転車盗_8月,非侵入窃盗_車上ねらい_8月,非侵入窃盗_すり_8月,非侵入窃盗_万引き_8月,非侵入窃盗_その他_8月,知能犯_計_8月,知能犯_詐欺_8月,風俗犯_計_8月,風俗犯_わいせつ_8月,その他_計_8月,その他_占有離脱物横領_8月,総数_9月,凶悪犯_計_9月,凶悪犯_殺人_9月,凶悪犯_強盗_9月,凶悪犯_放火_9月,凶悪犯_強制性交等_9月,粗暴犯_計_9月,粗暴犯_暴行_9月,粗暴犯_傷害_9月,粗暴犯_脅迫_9月,粗暴犯_恐喝_9月,侵入・窃盗_計_9月,侵入・窃盗_事務所荒し_9月,侵入・窃盗_空き巣_9月,侵入・窃盗_忍込み_9月,侵入・窃盗_居空き_9月,侵入・窃盗_その他_9月,非侵入窃盗_計_9月,非侵入窃盗_オートバイ盗_9月,非侵入窃盗_自転車盗_9月,非侵入窃盗_車上ねらい_9月,非侵入窃盗_すり_9月,非侵入窃盗_万引き_9月,非侵入窃盗_その他_9月,知能犯_計_9月,知能犯_詐欺_9月,風俗犯_計_9月,風俗犯_わいせつ_9月,その他_計_9月,その他_占有離脱物横領_9月,総数_10月,凶悪犯_計_10月,凶悪犯_殺人_10月,凶悪犯_強盗_10月,凶悪犯_放火_10月,凶悪犯_強制性交等_10月,粗暴犯_計_10月,粗暴犯_暴行_10月,粗暴犯_傷害_10月,粗暴犯_脅迫_10月,粗暴犯_恐喝_10月,侵入・窃盗_計_10月,侵入・窃盗_事務所荒し_10月,侵入・窃盗_空き巣_10月,侵入・窃盗_忍込み_10月,侵入・窃盗_居空き_10月,侵入・窃盗_その他_10月,非侵入窃盗_計_10月,非侵入窃盗_オートバイ盗_10月,非侵入窃盗_自転車盗_10月,非侵入窃盗_車上ねらい_10月,非侵入窃盗_すり_10月,非侵入窃盗_万引き_10月,非侵入窃盗_その他_10月,知能犯_計_10月,知能犯_詐欺_10月,風俗犯_計_10月,風俗犯_わいせつ_10月,その他_計_10月,その他_占有離脱物横領_10月,総数_11月,凶悪犯_計_11月,凶悪犯_殺人_11月,凶悪犯_強盗_11月,凶悪犯_放火_11月,凶悪犯_強制性交等_11月,粗暴犯_計_11月,粗暴犯_暴行_11月,粗暴犯_傷害_11月,粗暴犯_脅迫_11月,粗暴犯_恐喝_11月,侵入・窃盗_計_11月,侵入・窃盗_事務所荒し_11月,侵入・窃盗_空き巣_11月,侵入・窃盗_忍込み_11月,侵入・窃盗_居空き_11月,侵入・窃盗_その他_11月,非侵入窃盗_計_11月,非侵入窃盗_オートバイ盗_11月,非侵入窃盗_自転車盗_11月,非侵入窃盗_車上ねらい_11月,非侵入窃盗_すり_11月,非侵入窃盗_万引き_11月,非侵入窃盗_その他_11月,知能犯_計_11月,知能犯_詐欺_11月,風俗犯_計_11月,風俗犯_わいせつ_11月,その他_計_11月,その他_占有離脱物横領_11月,総数_12月,凶悪犯_計_12月,凶悪犯_殺人_12月,凶悪犯_強盗_12月,凶悪犯_放火_12月,凶悪犯_強制性交等_12月,粗暴犯_計_12月,粗暴犯_暴行_12月,粗暴犯_傷害_12月,粗暴犯_脅迫_12月,粗暴犯_恐喝_12月,侵入・窃盗_計_12月,侵入・窃盗_事務所荒し_12月,侵入・窃盗_空き巣_12月,侵入・窃盗_忍込み_12月,侵入・窃盗_居空き_12月,侵入・窃盗_その他_12月,非侵入窃盗_計_12月,非侵入窃盗_オートバイ盗_12月,非侵入窃盗_自転車盗_12月,非侵入窃盗_車上ねらい_12月,非侵入窃盗_すり_12月,非侵入窃盗_万引き_12月,非侵入窃盗_その他_12月,知能犯_計_12月,知能犯_詐欺_12月,風俗犯_計_12月,風俗犯_わいせつ_12月,その他_計_12月,その他_占有離脱物横領_12月,凶悪犯_その他_,凶悪犯_その他_1月,凶悪犯_その他_2月,凶悪犯_その他_3月,凶悪犯_その他_4月,凶悪犯_その他_5月,凶悪犯_その他_6月,凶悪犯_その他_7月,凶悪犯_その他_8月,凶悪犯_その他_9月,凶悪犯_その他_10月,凶悪犯_その他_11月,凶悪犯_その他_12月,粗暴犯_その他_,粗暴犯_その他_1月,粗暴犯_その他_2月,粗暴犯_その他_3月,粗暴犯_その他_4月,粗暴犯_その他_5月,粗暴犯_その他_6月,粗暴犯_その他_7月,粗暴犯_その他_8月,粗暴犯_その他_9月,粗暴犯_その他_10月,粗暴犯_その他_11月,粗暴犯_その他_12月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_,窃盗犯(侵入・窃盗と非侵入窃盗)_計_1月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_2月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_3月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_4月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_5月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_6月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_7月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_8月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_9月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_10月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_11月,窃盗犯(侵入・窃盗と非侵入窃盗)_計_12月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_1月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_2月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_3月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_4月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_5月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_6月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_7月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_8月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_9月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_10月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_11月,窃盗犯(侵入・窃盗と非侵入窃盗)_すり以外_12月,知能犯・風俗半・その他_計_,知能犯・風俗半・その他_計_1月,知能犯・風俗半・その他_計_2月,知能犯・風俗半・その他_計_3月,知能犯・風俗半・その他_計_4月,知能犯・風俗半・その他_計_5月,知能犯・風俗半・その他_計_6月,知能犯・風俗半・その他_計_7月,知能犯・風俗半・その他_計_8月,知能犯・風俗半・その他_計_9月,知能犯・風俗半・その他_計_10月,知能犯・風俗半・その他_計_11月,知能犯・風俗半・その他_計_12月,知能犯_横領_,知能犯_その他_,知能犯_横領_1月,知能犯_その他_1月,知能犯_横領_2月,知能犯_その他_2月,知能犯_横領_3月,知能犯_その他_3月,知能犯_横領_4月,知能犯_その他_4月,知能犯_横領_5月,知能犯_その他_5月,知能犯_横領_6月,知能犯_その他_6月,知能犯_横領_7月,知能犯_その他_7月,知能犯_横領_8月,知能犯_その他_8月,知能犯_横領_9月,知能犯_その他_9月,知能犯_横領_10月,知能犯_その他_10月,知能犯_横領_11月,知能犯_その他_11月,知能犯_横領_12月,知能犯_その他_12月,風俗犯_とばく_,風俗犯_その他_,風俗犯_とばく_1月,風俗犯_その他_1月,風俗犯_とばく_2月,風俗犯_その他_2月,風俗犯_とばく_3月,風俗犯_その他_3月,風俗犯_とばく_4月,風俗犯_その他_4月,風俗犯_とばく_5月,風俗犯_その他_5月,風俗犯_とばく_6月,風俗犯_その他_6月,風俗犯_とばく_7月,風俗犯_その他_7月,風俗犯_とばく_8月,風俗犯_その他_8月,風俗犯_とばく_9月,風俗犯_その他_9月,風俗犯_とばく_10月,風俗犯_その他_10月,風俗犯_とばく_11月,風俗犯_その他_11月,風俗犯_とばく_12月,風俗犯_その他_12月,その他_刑法犯_,その他_刑法犯_1月,その他_刑法犯_2月,その他_刑法犯_3月,その他_刑法犯_4月,その他_刑法犯_5月,その他_刑法犯_6月,その他_刑法犯_7月,その他_刑法犯_8月,その他_刑法犯_9月,その他_刑法犯_10月,その他_刑法犯_11月,その他_刑法犯_12月
0,1954,528,4,2,1,0,1,21,1,12,0,8,…,…,…,…,…,…,…,…,…,…,15,…,…,74,63,4,1,86,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,413,…,…,…,…,…,…,…,…,…,…,…,…,398,…,…,…,…,…,…,…,…,…,…,…,…,164,…,…,…,…,…,…,…,…,…,…,…,…,11,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,3,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,86,…,…,…,…,…,…,…,…,…,…,…,…
1,1955,974,22,3,2,2,15,96,15,50,2,29,…,…,…,…,…,…,…,…,…,…,15,…,…,88,75,6,1,77,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,697,…,…,…,…,…,…,…,…,…,…,…,…,682,…,…,…,…,…,…,…,…,…,…,…,…,171,…,…,…,…,…,…,…,…,…,…,…,…,13,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,5,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,77,…,…,…,…,…,…,…,…,…,…,…,…
2,1956,949,18,2,9,0,7,131,9,70,6,46,…,…,…,…,…,…,…,…,…,…,33,…,…,95,67,7,3,71,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,601,…,…,…,…,…,…,…,…,…,…,…,…,568,…,…,…,…,…,…,…,…,…,…,…,…,173,…,…,…,…,…,…,…,…,…,…,…,…,24,4,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,4,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,71,…,…,…,…,…,…,…,…,…,…,…,…
3,1957,1130,13,0,5,4,4,85,12,50,9,14,…,…,…,…,…,…,…,…,…,…,46,…,…,105,80,11,5,90,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,826,…,…,…,…,…,…,…,…,…,…,…,…,780,…,…,…,…,…,…,…,…,…,…,…,…,206,…,…,…,…,…,…,…,…,…,…,…,…,22,3,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,6,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,90,…,…,…,…,…,…,…,…,…,…,…,…
4,1958,1231,22,0,8,4,10,122,10,67,9,36,…,…,…,…,…,…,…,…,…,…,58,…,…,141,106,7,3,118,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,821,…,…,…,…,…,…,…,…,…,…,…,…,763,…,…,…,…,…,…,…,…,…,…,…,…,266,…,…,…,…,…,…,…,…,…,…,…,…,14,21,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,4,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,118,…,…,…,…,…,…,…,…,…,…,…,…
5,1959,1332,25,1,6,3,15,109,14,58,7,30,…,…,…,…,…,…,…,…,…,…,91,…,…,79,63,1,0,118,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,1000,…,…,…,…,…,…,…,…,…,…,…,…,909,…,…,…,…,…,…,…,…,…,…,…,…,198,…,…,…,…,…,…,…,…,…,…,…,…,9,7,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,118,…,…,…,…,…,…,…,…,…,…,…,…
