,インターネットやSNSを利用するか,被疑者65歳未満／男(N=32)(%),被疑者65歳未満／女(N=38)(%),被疑者65歳以上／男(N=23)(%),被疑者65歳以上／女(N=32)(%),一般65歳以上／男(N=662)(%),一般65歳以上／女(N=648)(%)
0,する,43.8,55.3,17.4,3.1,45.5,30.4
1,しない,56.3,44.7,82.6,96.9,54.5,69.6
