,種別,１２受験者（人）,１２合格者（人）,１６受験者（人）,１６合格者（人）,１７受験者（人）,１７合格者（人）
0,網・わな,0,0,0,0,0,0
1,第一種,5,5,0,0,1,1
2,第二種,0,0,0,0,0,0
3,計,5,5,0,0,1,1
