,調査数,日本語教室、学習支援,交流会やお祭り等のイベント,多言語による相談窓口の開設,災害に関するセミナーや支援活動,通訳訓練、通訳手配,医療(感染症対策等)に関するセミナーや支援活動,その他のセミナーや支援活動,防犯に関するセミナーや支援活動,その他
0,1127.0,488.0,245.0,180.0,131.0,99.0,84.0,79.0,59.0,427.0
1,100.0,43.3,21.7,16.0,11.6,8.8,7.5,7.0,5.2,37.9
