,地区１,地区２,１トン未満（隻）,１～３トン（隻）,３～５トン（隻）,５～１０トン（隻）,１０トン以上（隻）,計（隻）
0,三宅村,阿古,5,8,6,11,7,37
1,三宅村,伊ヶ谷,3,6,2,0,0,11
2,三宅村,伊豆,8,7,0,0,1,16
3,三宅村,神着,13,15,4,1,0,33
4,三宅村,坪田,4,7,3,7,4,25
5,三宅村,計,33,43,15,19,12,122
6,御蔵島村,,12,22,0,1,0,35
7,計,,45,65,15,20,12,157
