,区分,調査数,テレビ,Webサイト,友人・知人等との会話から,Facebook・Twitter等のSNS,タブレット・スマートフォンによるアプリ,新聞・雑誌,個人のブログ,ラジオ,その他,特に情報収集はしていない,無回答
0,全体,1058,362.0,358.0,306.0,187.0,172.0,147.0,84.0,21.0,23.0,280.0,3
1,全体(%),100,34.2,33.8,28.9,17.7,16.3,13.9,7.9,2.0,2.2,26.5,0.3
2,110番を知っている,683,202.0,226.0,199.0,111.0,92.0,91.0,62.0,12.0,18.0,204.0,3
3,110番を知っている(%),100,29.6,33.1,29.1,16.3,13.5,13.3,9.1,1.8,2.6,29.9,0.4
4,110番を知っていない,368,155.0,130.0,105.0,75.0,79.0,55.0,22.0,9.0,5.0,76.0,-
5,110番を知っていない(%),100,42.1,35.3,28.5,20.4,21.5,14.9,6.0,2.4,1.4,20.7,-
