,地区別,建設業,製造業,卸・小売業,金融保険業,運輸通信業,電気・ガス水道業,サービス業,その他,計
0,神着,7,3,21,3,3,0,24,0,61
1,伊豆,4,2,3,0,3,1,10,0,23
2,伊ヶ谷,1,0,1,0,1,0,6,0,9
3,阿古,19,3,35,0,3,0,50,2,112
4,坪田,13,4,35,0,4,0,37,1,94
5,三宅村計,44,12,95,3,14,1,127,3,299
6,御蔵島村,2,2,4,0,1,0,18,1,28
7,合計,46,14,99,3,15,1,145,4,327
