,場所,強制わいせつ
0,中高層（４階建以上）住宅,15%
1,一戸建住宅,3%
2,その他の住宅,7%
3,道路上,28%
4,列車内,8%
5,ホテル・ラブホテル等,5%
6,都市公園,5%
7,駐車(輪)場,1%
8,その他,28%
9,合計,100%
