,学校名,学級数,児童数１年（人）,児童数２年（人）,児童数３年（人）,児童数４年（人）,児童数５年（人）,児童数６年（人）,児童数計（人）
0,三宅村立三宅小学校,8,14.0,16.0,9.0,16.0,13.0,11.0,79.0
1,三宅村立三宅小学校特別支援学級（固定級）,2,,,,,,,
2,御蔵島村立御蔵島小学校,5,3.0,7.0,2.0,5.0,4.0,2.0,23.0
